	FOP	ABS	POSEM	NEGEM	FLOW	SELFDET	PERSEFF	STRENGTH	R Square	Residuals
PE11	0.446	0.446	0.726	-0.07	-0.016	-0.001	-0.07	-0.068	0.741	0.259
PE13	0.477	0.477	0.445	0.137	0.132	-0.003	-0.072	0.025	0.468	0.532
PE14	0.418	0.418	0.673	-0.182	0.084	0.029	-0.005	0.044	0.67	0.33
PE16	0.518	0.518	0.606	-0.003	-0.005	-0.143	0.056	0.012	0.66	0.34
PE19	0.451	0.451	0.727	-0.161	0.033	-0.01	-0.013	-0.043	0.762	0.238
NE3	-0.276	0.276	-0.08	0.673	-0.04	0.052	-0.056	0.032	0.544	0.456
NE5	-0.23	0.23	0.072	0.665	-0.102	-0.042	0.14	-0.036	0.534	0.466
NE6	-0.279	0.279	-0.043	0.791	-0.02	-0.035	-0.018	0.05	0.709	0.291
NE10	-0.312	0.312	-0.035	0.692	-0.004	-0.093	0.03	0.085	0.594	0.406
NE17	-0.363	0.363	-0.291	0.573	0.016	-0.024	-0.051	0.121	0.563	0.437
FLUX2	0.549	0.549	0.131	0.021	0.558	0.036	-0.005	0.051	0.634	0.366
FLUX5	0.612	0.612	0.012	-0.194	0.643	-0.012	-0.083	0.007	0.833	0.167
FLUX6	0.537	0.537	0.056	-0.106	0.384	0.036	-0.11	0.002	0.464	0.536
FLUX7	0.494	0.494	0.009	0.126	0.486	0.003	0.103	0.028	0.507	0.493
FLUX8	0.527	0.527	0.032	-0.02	0.557	-0.014	0.089	0.015	0.598	0.402
AD2	0.378	0.378	0.024	-0.095	0.085	0.793	0.117	0.029	0.802	0.198
AD3	0.55	0.55	-0.124	-0.013	0.035	0.389	-0.075	0.11	0.488	0.512
AD4	0.395	0.395	-0.009	-0.059	0.132	0.77	0.239	0.106	0.839	0.161
AD5	0.699	0.699	-0.048	0.029	-0.151	0.291	-0.068	-0.186	0.639	0.361
AD6	0.331	0.331	-0.013	0.046	-0.081	0.602	-0.108	-0.069	0.497	0.503
AD8	0.679	0.679	-0.002	-0.109	0.012	0.22	0.056	-0.098	0.534	0.466
AD9	0.628	0.628	0.015	-0.054	-0.169	0.367	-0.137	-0.178	0.611	0.389
AD10	0.379	0.379	-0.038	0.053	-0.015	0.663	-0.117	-0.028	0.602	0.398
EFP2	0.644	0.644	0.062	0.136	-0.132	-0.027	0.117	0.115	0.483	0.517
EFP3	0.773	0.773	-0.047	0.084	0.005	-0.02	0.13	0.001	0.623	0.377
EFP6	0.649	0.649	-0.023	-0.12	0.083	0.047	0.366	0.129	0.597	0.403
EFP7	0.755	0.755	-0.079	0.101	-0.095	0.023	0.325	0.12	0.716	0.284
EFP8	0.692	0.692	-0.064	0.037	0.035	0.063	0.461	0.032	0.702	0.298
UF2	0.569	0.569	-0.012	0.104	0.08	-0.053	0.108	0.572	0.682	0.318
UF3	0.658	0.658	-0.049	-0.015	0.06	-0.015	0.118	0.427	0.637	0.363
UF4	0.551	0.551	-0.012	0.124	-0.025	-0.022	0.02	0.541	0.613	0.387
UF6	0.582	0.582	0.003	0.091	-0.003	-0.011	-0.017	0.5	0.598	0.402
