4 9 1 5 5 5 5 5 1 2 3 3 2 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 4.0 5.0 3.0 5.0 4.0 5.0 4.0 5.0 4.0 4.0 4.0 4.0 4.0 8 5 6 7 5 5 7 7 8 5 6 5 6 4 9 5 5 5 5 6 8 10 6 5 5 5 5 6 6 6 10 5 6 5 5 5 5 5 5 5 6 7 7 5 7 6 5 9 7 5 7 8 5 5 5 8 8 5 5 5 8 5 8 5 5 5 5 7 5 5 6 8 7 5 5 5 5 7 5 5 5 6 5 5 5 6 7 5 5 5 7 5 5 6 5 5 5 5 5 5 5 5 5 7 5 5 6 6 5 5 5 5 5 5 5 5 5 5 5 5 6 Ecoute "Sourire " "Échange " "Partage " "Solution " "Échange " "Partage " Sociabilité nsp nsp "Désagréable " "Irritable " "Négatif " "Têtu " Nerveux 8 5 5 3 7 5 6 2 5 9 7 3 8 4 5 8 5 8 4 7 5 7 4 5 8 5 2 5 5 5 5 9 5 5 4 5 5 5 5 7 5 8 5 5 3 1 1973 46 53200 2
5 8 1 3 4 3 4 3 1 1 1 1 1 5.0 5.0 5.0 2.0 5.0 5.0 4.0 5.0 6.0 5.0 5.0 6.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 5.0 6 7 7 7 7 7 7 7 6 6 6 6 6 6 7 6 7 7 7 6 6 6 7 7 7 7 7 7 7 6 7 7 6 7 6 7 6 6 6 6 6 7 6 6 7 8 6 6 7 7 7 8 6 6 5 6 6 6 6 7 7 7 8 6 7 7 7 5 7 7 8 6 8 7 5 7 7 8 7 7 7 5 7 7 7 7 7 7 5 6 6 5 5 5 6 6 6 5 6 6 6 5 6 5 6 6 6 5 5 5 6 5 5 6 6 7 5 5 5 7 7 "Libre " "Respect " "Gentillesse " "Cohabitation " "Appréhender " "Gentillesse " "Respect " "Calme " "Tranquille " "Tranquille " "Mauvaise fois " "Mauvaise fois " "Mauvaise fois " "Mauvaise fois " "Méchant " 6 5 7 6 6 7 7 4 7 9 6 4 7 5 4 6 5 4 4 5 5 7 5 5 3 6 3 6 5 8 4 7 7 7 5 7 3 6 4 6 6 8 5 4 3 1 1961 58 21800 3
7 8 1 2 3 5 3 2 2 1 1 1 1 5.0 5.0 4.0 2.0 5.0 5.0 5.0 5.0 4.0 5.0 4.0 5.0 3.0 3.0 4.0 4.0 4.0 5.0 5.0 4.0 3.0 5.0 6 6 8 7 7 5 7 6 7 5 8 5 8 7 5 6 6 6 5 6 6 5 5 6 8 6 5 8 5 7 6 5 7 6 7 6 8 7 7 6 5 7 8 7 7 6 5 6 6 5 7 7 8 6 6 6 8 7 5 5 5 7 6 6 6 7 6 5 5 6 3 5 8 5 6 8 7 8 7 7 7 5 6 6 5 6 7 7 8 6 9 10 8 6 7 7 8 7 8 8 10 7 8 8 9 9 10 8 10 8 8 7 8 6 10 8 6 8 7 6 8 "Étincelante " "Joie de vivre " "Pleine de bon sens " "Sociable " "Généreuse " Genereuse "Joie de vivre " "Sociable " "Étincelante " "Plein de bon sens " "Étincelante " "Généreuse " "Pleine de bon sens " "Joie de vivre " "Sociable " 3 1 10 3 10 5 10 8 10 10 10 7 10 1 6 10 6 10 3 9 9 10 9 1 10 9 1 10 1 8 10 8 10 6 9 6 1 10 10 10 10 10 10 9 1 2 1972 47 2100 3
8 8 1 4 6 4 4 4 3 4 4 4 4 5.0 5.0 6.0 5.0 4.0 5.0 6.0 6.0 6.0 4.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5 10 5 10 10 5 10 9 5 5 10 5 5 1 5 1 10 10 5 1 10 5 5 10 5 5 5 10 5 5 5 1 10 10 10 10 5 5 5 5 10 10 10 10 10 10 1 10 10 10 10 10 5 10 10 10 10 10 5 1 10 5 10 1 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 5 10 10 10 10 10 5 10 10 5 10 1 1 1 1 1 1 1 1 1 généreuse gentille attentionnée serviable souriante souriante sérieuse attentionnée serviable généreuse tristesse isolée néfaste solitaire seule 5 1 10 1 5 1 10 5 10 10 10 1 10 1 5 10 10 1 1 5 1 10 1 5 5 10 1 10 1 10 1 10 10 10 5 10 3 10 1 10 1 10 1 5 1 2 1981 38 2820 3
9 6 1 5 6 5 5 6 1 1 2 1 1 6.0 5.0 5.0 5.0 6.0 6.0 6.0 6.0 6.0 6.0 5.0 6.0 6.0 5.0 6.0 5.0 6.0 6.0 5.0 6.0 5.0 5.0 7 4 5 7 9 10 9 3 2 5 9 5 2 9 7 3 9 8 5 5 9 9 10 8 10 3 7 10 8 8 10 9 8 9 5 10 8 9 10 6 7 9 5 7 9 9 6 9 8 9 9 9 7 10 2 10 9 9 5 1 10 8 8 4 1 4 9 8 8 8 8 5 9 9 8 9 8 7 9 4 6 2 7 7 9 8 9 9 7 3 8 8 7 9 9 7 8 10 9 8 6 2 4 7 6 7 6 8 3 9 7 9 4 1 4 5 3 1 2 4 4 ORDONEE PONCTUEL RAPIDE GENEREUX TRANSMISSION GENEREUX TRANSMISSION ACCOMPAGNEMENT PROTECTION IMAGINATIF EXECRABLE IRRACIBLE FERMER CASSANT FROID 9 3 7 1 7 5 5 3 7 10 10 2 7 3 8 9 7 1 1 8 4 9 1 7 8 7 1 9 2 10 8 10 10 7 3 6 1 7 1 10 1 9 1 8 1 1 1986 33 94200 1
10 10 2 3 4 3 3 4 2 1 1 1 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 5 5 7 5 6 7 6 4 8 6 5 7 6 5 6 4 6 8 7 5 7 5 3 7 6 5 5 7 5 4 7 7 5 5 9 7 6 6 5 6 7 6 7 7 8 5 3 9 8 6 8 5 6 6 3 5 4 5 7 5 8 5 7 6 5 7 4 8 5 6 7 8 7 6 5 7 5 7 7 8 9 5 8 7 8 8 5 5 5 5 4 4 5 5 6 8 5 5 5 5 4 5 7 6 5 5 4 4 4 6 5 5 4 4 3 7 5 5 4 4 4 Gaie, organisée serviable raleuse boudeuse joyeuse dynamique ordonnée cool serviable raleuse boudeuse entétée silencieuse obstinée 3 5 6 5 4 6 8 3 7 5 7 5 7 7 5 5 5 4 6 5 7 5 1 4 5 5 4 7 3 4 6 6 8 4 4 5 2 7 6 4 4 6 5 3 2 2 1957 62 44210 2
11 10 2 2 5 2 2 2 1 1 2 2 3 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 6 4 5 6 5 3 5 4 9 6 2 7 5 2 7 3 8 6 7 5 10 6 10 6 5 4 4 8 10 8 7 3 5 8 5 9 5 7 5 9 4 5 8 4 9 2 3 9 9 7 9 5 5 5 2 7 4 5 9 7 9 4 7 4 2 2 2 2 4 5 10 6 6 5 2 6 5 3 9 6 7 10 6 7 9 8 8 6 10 10 9 7 7 5 6 5 2 2 8 8 1 3 1 7 7 5 1 4 5 4 2 6 2 1 1 3 3 1 1 2 1 LOGIQUE PERSEVERANT AMPHATHIE VOLONTAIRE SOLITAIRE LOGIQUE REACTIF DISPONIBLE RIEUSE COMBATIVE RECLUSE MUETTE "DE MAUVAISE FOI" DEPRESSIONNAIRE LASSIVE 1 4 6 4 5 4 6 4 4 5 6 3 8 7 4 4 5 3 4 5 4 2 3 5 6 7 6 7 1 5 4 4 9 6 3 4 2 7 7 4 4 3 2 4 1 2 1954 65 33220 4
12 11 2 4 5 5 4 5 2 1 2 2 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 7 7 7 5 6 6 7 5 5 2 7 4 6 5 7 3 8 7 6 7 5 6 8 5 6 6 6 8 7 7 8 8 6 8 9 8 7 8 6 6 8 8 7 8 8 8 7 9 8 8 8 6 7 7 6 7 7 8 4 6 7 5 7 7 5 4 5 7 6 6 5 7 7 6 3 7 5 7 7 6 6 7 8 7 7 7 8 6 6 5 5 5 6 7 8 6 6 4 8 8 5 4 5 8 6 6 6 6 7 7 5 7 5 3 3 7 7 6 7 4 3 "Sérieuse " Solitaire Solidaire "Perfectionniste " "Rêveuse " Joyeuse "Motivée " Optimiste "Excitee " "Objective " "Déprimée " Triste Restriction Abandon Evasive 4 5 8 6 9 8 8 4 5 6 5 3 8 7 7 6 6 3 6 7 7 6 6 5 8 4 5 7 5 8 8 8 8 6 5 7 2 7 6 7 3 6 5 6 4 2 1989 30 71100 3
17 5 2 4 4 4 5 5 1 1 1 1 2 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 -999 8 7 5 8 8 8 7 6 6 9 8 2 7 5 5 1 10 7 8 3 7 8 8 7 10 5 3 9 7 7 8 5 8 5 7 9 5 7 8 8 8 8 5 5 9 6 3 9 8 8 9 9 8 9 4 7 8 5 5 3 9 6 10 7 7 5 8 9 8 5 5 8 8 8 1 7 3 8 6 5 6 3 7 5 6 6 8 8 6 6 5 6 7 5 9 8 7 6 7 7 3 6 7 4 8 3 6 2 5 8 7 7 1 1 1 3 2 1 1 1 1 curieuse empathique optimiste attentionnée pugnace joyeuse généreuse attentionnée optimiste empathique impulsive déprimée repliée paniquée stressée 8 1 9 5 6 6 9 1 6 9 9 1 9 7 6 8 8 2 7 4 4 7 1 4 4 7 1 9 3 10 7 8 9 4 2 5 1 8 7 8 10 8 2 10 1 2 1961 58 75013 1
18 3 1 3 4 3 3 4 1 1 1 2 3 4.0 5.0 5.0 4.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 5.0 3.0 5.0 4.0 4.0 4.0 4.0 4.0 4.0 4.0 6 4 5 7 8 9 7 5 6 9 5 5 7 7 5 4 8 8 7 7 8 8 5 8 8 5 7 8 5 7 9 8 8 8 7 9 8 8 7 7 7 9 8 8 8 5 7 8 8 8 9 7 8 5 7 7 7 7 8 8 3 8 9 7 8 8 6 5 7 7 7 5 8 7 5 6 7 5 5 7 7 7 6 6 8 8 7 5 6 8 8 7 8 6 7 7 5 6 7 7 8 3 7 6 7 6 5 4 5 5 3 7 1 1 2 3 2 2 2 1 3 Amabilité Gentilesse Tolérances Comprehensif Sociable Gentilesse Charirable Sympa Sociable Altruiste Colère Irritable Furieux "N entend personnes" Détestable 5 3 7 2 7 7 9 7 6 9 7 7 8 5 6 8 9 5 2 8 7 8 2 5 6 4 1 9 3 7 8 9 8 5 8 7 1 7 4 7 5 8 5 4 2 1 1970 49 81600 4
